refdes	dni	device	footprint	value	
J981	unknown	HEADER3	header3	unknown	
R993	unknown	RESISTOR	0402	10k	
Q981	unknown	ao3415	custom_ao3415	unknown	
U981	unknown	xc6206	SOT23	unknown	
R991	unknown	RESISTOR	0402	50	
R990	unknown	RESISTOR	0402	50	
R992	unknown	RESISTOR	0402	50	
CONN982	unknown	BNC	custom_sma5	unknown	
CONN981	unknown	BNC	custom_sma5	unknown	
R989	unknown	RESISTOR	0603	100	
T984	unknown	terminal	pad_8x8	unknown	
T983	unknown	terminal	pad_8x8	unknown	
R985	unknown	RESISTOR	0402	50	
R986	unknown	RESISTOR	0402	50	
R987	unknown	RESISTOR	0402	50	
R988	unknown	RESISTOR	0603	100	
T941	unknown	terminal	custom_pad1	unknown	
C947	unknown	CAPACITOR	0402	100n	
L941	unknown	INDUCTOR	0402	4.7n	
R941	unknown	RESISTOR	0402	510	
C946	unknown	CAPACITOR	0402	220p	
C949	unknown	CAPACITOR	0402	100n	
C944	unknown	CAPACITOR	0402	10p	
C943	unknown	CAPACITOR	0805	10u	
C945	unknown	CAPACITOR	0402	1n	
C941	unknown	CAPACITOR	0402	100n	
C942	unknown	CAPACITOR	0402	100n	
C948	unknown	CAPACITOR	0402_2	10p	
U941	unknown	se5004	QFN20_4_EP_SE5004	unknown	
T961	unknown	terminal	custom_pad1	unknown	
C967	unknown	CAPACITOR	0402	100n	
L961	unknown	INDUCTOR	0402	4.7n	
R961	unknown	RESISTOR	0402	510	
C966	unknown	CAPACITOR	0402	220p	
C969	unknown	CAPACITOR	0402	100n	
C964	unknown	CAPACITOR	0402	10p	
C963	unknown	CAPACITOR	0805	10u	
C965	unknown	CAPACITOR	0402	1n	
C961	unknown	CAPACITOR	0402	100n	
C962	unknown	CAPACITOR	0402	100n	
C968	unknown	CAPACITOR	0402_2	10p	
U961	unknown	se5004	QFN20_4_EP_SE5004	unknown	
R984	unknown	RESISTOR	0402	50	
R983	unknown	RESISTOR	0402	50	
R982	unknown	RESISTOR	0402	50	
T981	unknown	terminal	pad_8x8	unknown	
T982	unknown	terminal	pad_8x8	unknown	
R981	unknown	RESISTOR	0603	100	
T921	unknown	terminal	custom_pad1	unknown	
C927	unknown	CAPACITOR	0402	100n	
L921	unknown	INDUCTOR	0402	4.7n	
R921	unknown	RESISTOR	0402	510	
C926	unknown	CAPACITOR	0402	220p	
C929	unknown	CAPACITOR	0402	100n	
C924	unknown	CAPACITOR	0402	10p	
C923	unknown	CAPACITOR	0805	10u	
C925	unknown	CAPACITOR	0402	1n	
C921	unknown	CAPACITOR	0402	100n	
C922	unknown	CAPACITOR	0402	100n	
C928	unknown	CAPACITOR	0402_2	10p	
U921	unknown	se5004	QFN20_4_EP_SE5004	unknown	
T901	unknown	terminal	custom_pad1	unknown	
C907	unknown	CAPACITOR	0402	100n	
L901	unknown	INDUCTOR	0402	4.7n	
R901	unknown	RESISTOR	0402	510	
C906	unknown	CAPACITOR	0402	220p	
C909	unknown	CAPACITOR	0402	100n	
C904	unknown	CAPACITOR	0402	10p	
C903	unknown	CAPACITOR	0805	10u	
C905	unknown	CAPACITOR	0402	1n	
C901	unknown	CAPACITOR	0402	100n	
C902	unknown	CAPACITOR	0402	100n	
C908	unknown	CAPACITOR	0402_2	10p	
U901	unknown	se5004	QFN20_4_EP_SE5004	unknown	
